zipCode,county,state,entitlement
36003,Autauga County,Alabama,806500
36006,Autauga County,Alabama,806500
36008,Autauga County,Alabama,806500
36051,Autauga County,Alabama,806500
36066,Autauga County,Alabama,806500
36067,Autauga County,Alabama,806500
36068,Autauga County,Alabama,806500
36749,Autauga County,Alabama,806500
36507,Baldwin County,Alabama,806500
36511,Baldwin County,Alabama,806500
36526,Baldwin County,Alabama,806500
36527,Baldwin County,Alabama,806500
36530,Baldwin County,Alabama,806500
36532,Baldwin County,Alabama,806500
36533,Baldwin County,Alabama,806500
36535,Baldwin County,Alabama,806500
36536,Baldwin County,Alabama,806500
36542,Baldwin County,Alabama,806500
36547,Baldwin County,Alabama,806500
36549,Baldwin County,Alabama,806500
36550,Baldwin County,Alabama,806500
36551,Baldwin County,Alabama,806500
36555,Baldwin County,Alabama,806500
36559,Baldwin County,Alabama,806500
36561,Baldwin County,Alabama,806500
36562,Baldwin County,Alabama,806500
36564,Baldwin County,Alabama,806500
36567,Baldwin County,Alabama,806500
36574,Baldwin County,Alabama,806500
36576,Baldwin County,Alabama,806500
36577,Baldwin County,Alabama,806500
36578,Baldwin County,Alabama,806500
36579,Baldwin County,Alabama,806500
36580,Baldwin County,Alabama,806500
36016,Barbour County,Alabama,806500
36017,Barbour County,Alabama,806500
36027,Barbour County,Alabama,806500
36048,Barbour County,Alabama,806500
36072,Barbour County,Alabama,806500
35034,Bibb County,Alabama,806500
35035,Bibb County,Alabama,806500
35042,Bibb County,Alabama,806500
35074,Bibb County,Alabama,806500
35184,Bibb County,Alabama,806500
35188,Bibb County,Alabama,806500
36792,Bibb County,Alabama,806500
36793,Bibb County,Alabama,806500
35013,Blount County,Alabama,806500
35031,Blount County,Alabama,806500
35049,Blount County,Alabama,806500
35079,Blount County,Alabama,806500
35097,Blount County,Alabama,806500
35121,Blount County,Alabama,806500
35133,Blount County,Alabama,806500
35172,Blount County,Alabama,806500
36029,Bullock County,Alabama,806500
36053,Bullock County,Alabama,806500
36061,Bullock County,Alabama,806500
36089,Bullock County,Alabama,806500
36015,Butler County,Alabama,806500
36030,Butler County,Alabama,806500
36033,Butler County,Alabama,806500
36037,Butler County,Alabama,806500
36456,Butler County,Alabama,806500
36201,Calhoun County,Alabama,806500
36202,Calhoun County,Alabama,806500
36203,Calhoun County,Alabama,806500
36204,Calhoun County,Alabama,806500
36205,Calhoun County,Alabama,806500
36206,Calhoun County,Alabama,806500
36207,Calhoun County,Alabama,806500
36210,Calhoun County,Alabama,806500
36250,Calhoun County,Alabama,806500
36253,Calhoun County,Alabama,806500
36254,Calhoun County,Alabama,806500
36257,Calhoun County,Alabama,806500
36260,Calhoun County,Alabama,806500
36265,Calhoun County,Alabama,806500
36271,Calhoun County,Alabama,806500
36272,Calhoun County,Alabama,806500
36277,Calhoun County,Alabama,806500
36279,Calhoun County,Alabama,806500
36854,Chambers County,Alabama,806500
36855,Chambers County,Alabama,806500
36862,Chambers County,Alabama,806500
36863,Chambers County,Alabama,806500
36872,Chambers County,Alabama,806500
35959,Cherokee County,Alabama,806500
35960,Cherokee County,Alabama,806500
35973,Cherokee County,Alabama,806500
35983,Cherokee County,Alabama,806500
36275,Cherokee County,Alabama,806500
35045,Chilton County,Alabama,806500
35046,Chilton County,Alabama,806500
35085,Chilton County,Alabama,806500
35171,Chilton County,Alabama,806500
36091,Chilton County,Alabama,806500
36750,Chilton County,Alabama,806500
36790,Chilton County,Alabama,806500
36904,Choctaw County,Alabama,806500
36908,Choctaw County,Alabama,806500
36910,Choctaw County,Alabama,806500
36912,Choctaw County,Alabama,806500
36913,Choctaw County,Alabama,806500
36915,Choctaw County,Alabama,806500
36916,Choctaw County,Alabama,806500
36919,Choctaw County,Alabama,806500
36921,Choctaw County,Alabama,806500
36922,Choctaw County,Alabama,806500
36436,Clarke County,Alabama,806500
36446,Clarke County,Alabama,806500
36451,Clarke County,Alabama,806500
36482,Clarke County,Alabama,806500
36501,Clarke County,Alabama,806500
36515,Clarke County,Alabama,806500
36524,Clarke County,Alabama,806500
36540,Clarke County,Alabama,806500
36545,Clarke County,Alabama,806500
36727,Clarke County,Alabama,806500
36762,Clarke County,Alabama,806500
36784,Clarke County,Alabama,806500
35082,Clay County,Alabama,806500
36251,Clay County,Alabama,806500
36255,Clay County,Alabama,806500
36258,Clay County,Alabama,806500
36266,Clay County,Alabama,806500
36267,Clay County,Alabama,806500
36261,Cleburne County,Alabama,806500
36262,Cleburne County,Alabama,806500
36264,Cleburne County,Alabama,806500
36269,Cleburne County,Alabama,806500
36273,Cleburne County,Alabama,806500
36323,Coffee County,Alabama,806500
36330,Coffee County,Alabama,806500
36331,Coffee County,Alabama,806500
36346,Coffee County,Alabama,806500
36351,Coffee County,Alabama,806500
35616,Colbert County,Alabama,806500
35646,Colbert County,Alabama,806500
35660,Colbert County,Alabama,806500
35661,Colbert County,Alabama,806500
35662,Colbert County,Alabama,806500
35674,Colbert County,Alabama,806500
36401,Conecuh County,Alabama,806500
36429,Conecuh County,Alabama,806500
36432,Conecuh County,Alabama,806500
36454,Conecuh County,Alabama,806500
36473,Conecuh County,Alabama,806500
36475,Conecuh County,Alabama,806500
35072,Coosa County,Alabama,806500
35089,Coosa County,Alabama,806500
35136,Coosa County,Alabama,806500
35183,Coosa County,Alabama,806500
36026,Coosa County,Alabama,806500
36028,Covington County,Alabama,806500
36038,Covington County,Alabama,806500
36420,Covington County,Alabama,806500
36421,Covington County,Alabama,806500
36442,Covington County,Alabama,806500
36453,Covington County,Alabama,806500
36455,Covington County,Alabama,806500
36467,Covington County,Alabama,806500
36474,Covington County,Alabama,806500
36476,Covington County,Alabama,806500
36483,Covington County,Alabama,806500
36009,Crenshaw County,Alabama,806500
36041,Crenshaw County,Alabama,806500
36042,Crenshaw County,Alabama,806500
36046,Crenshaw County,Alabama,806500
36049,Crenshaw County,Alabama,806500
36062,Crenshaw County,Alabama,806500
36071,Crenshaw County,Alabama,806500
35019,Cullman County,Alabama,806500
35033,Cullman County,Alabama,806500
35053,Cullman County,Alabama,806500
35055,Cullman County,Alabama,806500
35056,Cullman County,Alabama,806500
35057,Cullman County,Alabama,806500
35058,Cullman County,Alabama,806500
35070,Cullman County,Alabama,806500
35077,Cullman County,Alabama,806500
35083,Cullman County,Alabama,806500
35087,Cullman County,Alabama,806500
35098,Cullman County,Alabama,806500
35179,Cullman County,Alabama,806500
36311,Dale County,Alabama,806500
36322,Dale County,Alabama,806500
36350,Dale County,Alabama,806500
36360,Dale County,Alabama,806500
36361,Dale County,Alabama,806500
36362,Dale County,Alabama,806500
36371,Dale County,Alabama,806500
36374,Dale County,Alabama,806500
36701,Dallas County,Alabama,806500
36702,Dallas County,Alabama,806500
36703,Dallas County,Alabama,806500
36758,Dallas County,Alabama,806500
36759,Dallas County,Alabama,806500
36761,Dallas County,Alabama,806500
36767,Dallas County,Alabama,806500
36773,Dallas County,Alabama,806500
36775,Dallas County,Alabama,806500
35961,DeKalb County,Alabama,806500
35962,DeKalb County,Alabama,806500
35963,DeKalb County,Alabama,806500
35967,DeKalb County,Alabama,806500
35968,DeKalb County,Alabama,806500
35971,DeKalb County,Alabama,806500
35974,DeKalb County,Alabama,806500
35975,DeKalb County,Alabama,806500
35978,DeKalb County,Alabama,806500
35979,DeKalb County,Alabama,806500
35981,DeKalb County,Alabama,806500
35984,DeKalb County,Alabama,806500
35986,DeKalb County,Alabama,806500
35988,DeKalb County,Alabama,806500
35989,DeKalb County,Alabama,806500
36020,Elmore County,Alabama,806500
36022,Elmore County,Alabama,806500
36024,Elmore County,Alabama,806500
36025,Elmore County,Alabama,806500
36045,Elmore County,Alabama,806500
36054,Elmore County,Alabama,806500
36078,Elmore County,Alabama,806500
36080,Elmore County,Alabama,806500
36092,Elmore County,Alabama,806500
36093,Elmore County,Alabama,806500
36426,Escambia County,Alabama,806500
36427,Escambia County,Alabama,806500
36441,Escambia County,Alabama,806500
36502,Escambia County,Alabama,806500
36503,Escambia County,Alabama,806500
36504,Escambia County,Alabama,806500
36543,Escambia County,Alabama,806500
35901,Etowah County,Alabama,806500
35902,Etowah County,Alabama,806500
35903,Etowah County,Alabama,806500
35904,Etowah County,Alabama,806500
35905,Etowah County,Alabama,806500
35906,Etowah County,Alabama,806500
35907,Etowah County,Alabama,806500
35952,Etowah County,Alabama,806500
35954,Etowah County,Alabama,806500
35956,Etowah County,Alabama,806500
35972,Etowah County,Alabama,806500
35990,Etowah County,Alabama,806500
35542,Fayette County,Alabama,806500
35545,Fayette County,Alabama,806500
35546,Fayette County,Alabama,806500
35554,Fayette County,Alabama,806500
35555,Fayette County,Alabama,806500
35559,Fayette County,Alabama,806500
35571,Franklin County,Alabama,806500
35581,Franklin County,Alabama,806500
35582,Franklin County,Alabama,806500
35585,Franklin County,Alabama,806500
35593,Franklin County,Alabama,806500
35653,Franklin County,Alabama,806500
35654,Franklin County,Alabama,806500
36313,Geneva County,Alabama,806500
36314,Geneva County,Alabama,806500
36316,Geneva County,Alabama,806500
36318,Geneva County,Alabama,806500
36340,Geneva County,Alabama,806500
36344,Geneva County,Alabama,806500
36349,Geneva County,Alabama,806500
36375,Geneva County,Alabama,806500
36477,Geneva County,Alabama,806500
35443,Greene County,Alabama,806500
35448,Greene County,Alabama,806500
35462,Greene County,Alabama,806500
35469,Greene County,Alabama,806500
35491,Greene County,Alabama,806500
36740,Greene County,Alabama,806500
35441,Hale County,Alabama,806500
35474,Hale County,Alabama,806500
36744,Hale County,Alabama,806500
36765,Hale County,Alabama,806500
36776,Hale County,Alabama,806500
36310,Henry County,Alabama,806500
36317,Henry County,Alabama,806500
36345,Henry County,Alabama,806500
36353,Henry County,Alabama,806500
36373,Henry County,Alabama,806500
36301,Houston County,Alabama,806500
36302,Houston County,Alabama,806500
36303,Houston County,Alabama,806500
36304,Houston County,Alabama,806500
36305,Houston County,Alabama,806500
36312,Houston County,Alabama,806500
36319,Houston County,Alabama,806500
36320,Houston County,Alabama,806500
36321,Houston County,Alabama,806500
36343,Houston County,Alabama,806500
36352,Houston County,Alabama,806500
36370,Houston County,Alabama,806500
36376,Houston County,Alabama,806500
35740,Jackson County,Alabama,806500
35744,Jackson County,Alabama,806500
35745,Jackson County,Alabama,806500
35746,Jackson County,Alabama,806500
35751,Jackson County,Alabama,806500
35752,Jackson County,Alabama,806500
35764,Jackson County,Alabama,806500
35765,Jackson County,Alabama,806500
35766,Jackson County,Alabama,806500
35768,Jackson County,Alabama,806500
35769,Jackson County,Alabama,806500
35771,Jackson County,Alabama,806500
35772,Jackson County,Alabama,806500
35774,Jackson County,Alabama,806500
35776,Jackson County,Alabama,806500
35958,Jackson County,Alabama,806500
35966,Jackson County,Alabama,806500
35005,Jefferson County,Alabama,806500
35006,Jefferson County,Alabama,806500
35015,Jefferson County,Alabama,806500
35020,Jefferson County,Alabama,806500
35021,Jefferson County,Alabama,806500
35022,Jefferson County,Alabama,806500
35023,Jefferson County,Alabama,806500
35036,Jefferson County,Alabama,806500
35041,Jefferson County,Alabama,806500
35048,Jefferson County,Alabama,806500
35060,Jefferson County,Alabama,806500
35061,Jefferson County,Alabama,806500
35062,Jefferson County,Alabama,806500
35064,Jefferson County,Alabama,806500
