zipCode,county,state,entitlement
36003,Autauga County,Alabama,832750
36006,Autauga County,Alabama,832750
36008,Autauga County,Alabama,832750
36051,Autauga County,Alabama,832750
36066,Autauga County,Alabama,832750
36067,Autauga County,Alabama,832750
36068,Autauga County,Alabama,832750
36749,Autauga County,Alabama,832750
36507,Baldwin County,Alabama,832750
36511,Baldwin County,Alabama,832750
36526,Baldwin County,Alabama,832750
36527,Baldwin County,Alabama,832750
36530,Baldwin County,Alabama,832750
36532,Baldwin County,Alabama,832750
36533,Baldwin County,Alabama,832750
36535,Baldwin County,Alabama,832750
36536,Baldwin County,Alabama,832750
36542,Baldwin County,Alabama,832750
36547,Baldwin County,Alabama,832750
36549,Baldwin County,Alabama,832750
36550,Baldwin County,Alabama,832750
36551,Baldwin County,Alabama,832750
36555,Baldwin County,Alabama,832750
36559,Baldwin County,Alabama,832750
36561,Baldwin County,Alabama,832750
36562,Baldwin County,Alabama,832750
36564,Baldwin County,Alabama,832750
36567,Baldwin County,Alabama,832750
36574,Baldwin County,Alabama,832750
36576,Baldwin County,Alabama,832750
36577,Baldwin County,Alabama,832750
36578,Baldwin County,Alabama,832750
36579,Baldwin County,Alabama,832750
36580,Baldwin County,Alabama,832750
36016,Barbour County,Alabama,832750
36017,Barbour County,Alabama,832750
36027,Barbour County,Alabama,832750
36048,Barbour County,Alabama,832750
36072,Barbour County,Alabama,832750
35034,Bibb County,Alabama,832750
35035,Bibb County,Alabama,832750
35042,Bibb County,Alabama,832750
35074,Bibb County,Alabama,832750
35184,Bibb County,Alabama,832750
35188,Bibb County,Alabama,832750
36792,Bibb County,Alabama,832750
36793,Bibb County,Alabama,832750
35013,Blount County,Alabama,832750
35031,Blount County,Alabama,832750
35049,Blount County,Alabama,832750
35079,Blount County,Alabama,832750
35097,Blount County,Alabama,832750
35121,Blount County,Alabama,832750
35133,Blount County,Alabama,832750
35172,Blount County,Alabama,832750
36029,Bullock County,Alabama,832750
36053,Bullock County,Alabama,832750
36061,Bullock County,Alabama,832750
36089,Bullock County,Alabama,832750
36015,Butler County,Alabama,832750
36030,Butler County,Alabama,832750
36033,Butler County,Alabama,832750
36037,Butler County,Alabama,832750
36456,Butler County,Alabama,832750
36201,Calhoun County,Alabama,832750
36202,Calhoun County,Alabama,832750
36203,Calhoun County,Alabama,832750
36204,Calhoun County,Alabama,832750
36205,Calhoun County,Alabama,832750
36206,Calhoun County,Alabama,832750
36207,Calhoun County,Alabama,832750
36210,Calhoun County,Alabama,832750
36250,Calhoun County,Alabama,832750
36253,Calhoun County,Alabama,832750
36254,Calhoun County,Alabama,832750
36257,Calhoun County,Alabama,832750
36260,Calhoun County,Alabama,832750
36265,Calhoun County,Alabama,832750
36271,Calhoun County,Alabama,832750
36272,Calhoun County,Alabama,832750
36277,Calhoun County,Alabama,832750
36279,Calhoun County,Alabama,832750
36854,Chambers County,Alabama,832750
36855,Chambers County,Alabama,832750
36862,Chambers County,Alabama,832750
36863,Chambers County,Alabama,832750
36872,Chambers County,Alabama,832750
35959,Cherokee County,Alabama,832750
35960,Cherokee County,Alabama,832750
35973,Cherokee County,Alabama,832750
35983,Cherokee County,Alabama,832750
36275,Cherokee County,Alabama,832750
35045,Chilton County,Alabama,832750
35046,Chilton County,Alabama,832750
35085,Chilton County,Alabama,832750
35171,Chilton County,Alabama,832750
36091,Chilton County,Alabama,832750
36750,Chilton County,Alabama,832750
36790,Chilton County,Alabama,832750
36904,Choctaw County,Alabama,832750
36908,Choctaw County,Alabama,832750
36910,Choctaw County,Alabama,832750
36912,Choctaw County,Alabama,832750
36913,Choctaw County,Alabama,832750
36915,Choctaw County,Alabama,832750
36916,Choctaw County,Alabama,832750
36919,Choctaw County,Alabama,832750
36921,Choctaw County,Alabama,832750
36922,Choctaw County,Alabama,832750
36436,Clarke County,Alabama,832750
36446,Clarke County,Alabama,832750
36451,Clarke County,Alabama,832750
36482,Clarke County,Alabama,832750
36501,Clarke County,Alabama,832750
36515,Clarke County,Alabama,832750
36524,Clarke County,Alabama,832750
36540,Clarke County,Alabama,832750
36545,Clarke County,Alabama,832750
36727,Clarke County,Alabama,832750
36762,Clarke County,Alabama,832750
36784,Clarke County,Alabama,832750
35082,Clay County,Alabama,832750
36251,Clay County,Alabama,832750
36255,Clay County,Alabama,832750
36258,Clay County,Alabama,832750
36266,Clay County,Alabama,832750
36267,Clay County,Alabama,832750
36261,Cleburne County,Alabama,832750
36262,Cleburne County,Alabama,832750
36264,Cleburne County,Alabama,832750
36269,Cleburne County,Alabama,832750
36273,Cleburne County,Alabama,832750
36323,Coffee County,Alabama,832750
36330,Coffee County,Alabama,832750
36331,Coffee County,Alabama,832750
36346,Coffee County,Alabama,832750
36351,Coffee County,Alabama,832750
35616,Colbert County,Alabama,832750
35646,Colbert County,Alabama,832750
35660,Colbert County,Alabama,832750
35661,Colbert County,Alabama,832750
35662,Colbert County,Alabama,832750
35674,Colbert County,Alabama,832750
36401,Conecuh County,Alabama,832750
36429,Conecuh County,Alabama,832750
36432,Conecuh County,Alabama,832750
36454,Conecuh County,Alabama,832750
36473,Conecuh County,Alabama,832750
36475,Conecuh County,Alabama,832750
35072,Coosa County,Alabama,832750
35089,Coosa County,Alabama,832750
35136,Coosa County,Alabama,832750
35183,Coosa County,Alabama,832750
36026,Coosa County,Alabama,832750
36028,Covington County,Alabama,832750
36038,Covington County,Alabama,832750
36420,Covington County,Alabama,832750
36421,Covington County,Alabama,832750
36442,Covington County,Alabama,832750
36453,Covington County,Alabama,832750
36455,Covington County,Alabama,832750
36467,Covington County,Alabama,832750
36474,Covington County,Alabama,832750
36476,Covington County,Alabama,832750
36483,Covington County,Alabama,832750
36009,Crenshaw County,Alabama,832750
36041,Crenshaw County,Alabama,832750
36042,Crenshaw County,Alabama,832750
36046,Crenshaw County,Alabama,832750
36049,Crenshaw County,Alabama,832750
36062,Crenshaw County,Alabama,832750
36071,Crenshaw County,Alabama,832750
35019,Cullman County,Alabama,832750
35033,Cullman County,Alabama,832750
35053,Cullman County,Alabama,832750
35055,Cullman County,Alabama,832750
35056,Cullman County,Alabama,832750
35057,Cullman County,Alabama,832750
35058,Cullman County,Alabama,832750
35070,Cullman County,Alabama,832750
35077,Cullman County,Alabama,832750
35083,Cullman County,Alabama,832750
35087,Cullman County,Alabama,832750
35098,Cullman County,Alabama,832750
35179,Cullman County,Alabama,832750
36311,Dale County,Alabama,832750
36322,Dale County,Alabama,832750
36350,Dale County,Alabama,832750
36360,Dale County,Alabama,832750
36361,Dale County,Alabama,832750
36362,Dale County,Alabama,832750
36371,Dale County,Alabama,832750
36374,Dale County,Alabama,832750
36701,Dallas County,Alabama,832750
36702,Dallas County,Alabama,832750
36703,Dallas County,Alabama,832750
36758,Dallas County,Alabama,832750
36759,Dallas County,Alabama,832750
36761,Dallas County,Alabama,832750
36767,Dallas County,Alabama,832750
36773,Dallas County,Alabama,832750
36775,Dallas County,Alabama,832750
35961,DeKalb County,Alabama,832750
35962,DeKalb County,Alabama,832750
35963,DeKalb County,Alabama,832750
35967,DeKalb County,Alabama,832750
35968,DeKalb County,Alabama,832750
35971,DeKalb County,Alabama,832750
35974,DeKalb County,Alabama,832750
35975,DeKalb County,Alabama,832750
35978,DeKalb County,Alabama,832750
35979,DeKalb County,Alabama,832750
35981,DeKalb County,Alabama,832750
35984,DeKalb County,Alabama,832750
35986,DeKalb County,Alabama,832750
35988,DeKalb County,Alabama,832750
35989,DeKalb County,Alabama,832750
36020,Elmore County,Alabama,832750
36022,Elmore County,Alabama,832750
36024,Elmore County,Alabama,832750
36025,Elmore County,Alabama,832750
36045,Elmore County,Alabama,832750
36054,Elmore County,Alabama,832750
36078,Elmore County,Alabama,832750
36080,Elmore County,Alabama,832750
36092,Elmore County,Alabama,832750
36093,Elmore County,Alabama,832750
36426,Escambia County,Alabama,832750
36427,Escambia County,Alabama,832750
36441,Escambia County,Alabama,832750
36502,Escambia County,Alabama,832750
36503,Escambia County,Alabama,832750
36504,Escambia County,Alabama,832750
36543,Escambia County,Alabama,832750
35901,Etowah County,Alabama,832750
35902,Etowah County,Alabama,832750
35903,Etowah County,Alabama,832750
35904,Etowah County,Alabama,832750
35905,Etowah County,Alabama,832750
35906,Etowah County,Alabama,832750
35907,Etowah County,Alabama,832750
35952,Etowah County,Alabama,832750
35954,Etowah County,Alabama,832750
35956,Etowah County,Alabama,832750
35972,Etowah County,Alabama,832750
35990,Etowah County,Alabama,832750
35542,Fayette County,Alabama,832750
35545,Fayette County,Alabama,832750
35546,Fayette County,Alabama,832750
35554,Fayette County,Alabama,832750
35555,Fayette County,Alabama,832750
35559,Fayette County,Alabama,832750
35571,Franklin County,Alabama,832750
35581,Franklin County,Alabama,832750
35582,Franklin County,Alabama,832750
35585,Franklin County,Alabama,832750
35593,Franklin County,Alabama,832750
35653,Franklin County,Alabama,832750
35654,Franklin County,Alabama,832750
36313,Geneva County,Alabama,832750
36314,Geneva County,Alabama,832750
36316,Geneva County,Alabama,832750
36318,Geneva County,Alabama,832750
36340,Geneva County,Alabama,832750
36344,Geneva County,Alabama,832750
36349,Geneva County,Alabama,832750
36375,Geneva County,Alabama,832750
36477,Geneva County,Alabama,832750
35443,Greene County,Alabama,832750
35448,Greene County,Alabama,832750
35462,Greene County,Alabama,832750
35469,Greene County,Alabama,832750
35491,Greene County,Alabama,832750
36740,Greene County,Alabama,832750
35441,Hale County,Alabama,832750
35474,Hale County,Alabama,832750
36744,Hale County,Alabama,832750
36765,Hale County,Alabama,832750
36776,Hale County,Alabama,832750
36310,Henry County,Alabama,832750
36317,Henry County,Alabama,832750
36345,Henry County,Alabama,832750
36353,Henry County,Alabama,832750
36373,Henry County,Alabama,832750
36301,Houston County,Alabama,832750
36302,Houston County,Alabama,832750
36303,Houston County,Alabama,832750
36304,Houston County,Alabama,832750
36305,Houston County,Alabama,832750
36312,Houston County,Alabama,832750
36319,Houston County,Alabama,832750
36320,Houston County,Alabama,832750
36321,Houston County,Alabama,832750
36343,Houston County,Alabama,832750
36352,Houston County,Alabama,832750
36370,Houston County,Alabama,832750
36376,Houston County,Alabama,832750
35740,Jackson County,Alabama,832750
35744,Jackson County,Alabama,832750
35745,Jackson County,Alabama,832750
35746,Jackson County,Alabama,832750
35751,Jackson County,Alabama,832750
35752,Jackson County,Alabama,832750
35764,Jackson County,Alabama,832750
35765,Jackson County,Alabama,832750
35766,Jackson County,Alabama,832750
35768,Jackson County,Alabama,832750
35769,Jackson County,Alabama,832750
35771,Jackson County,Alabama,832750
35772,Jackson County,Alabama,832750
35774,Jackson County,Alabama,832750
35776,Jackson County,Alabama,832750
35958,Jackson County,Alabama,832750
35966,Jackson County,Alabama,832750
35005,Jefferson County,Alabama,832750
35006,Jefferson County,Alabama,832750
35015,Jefferson County,Alabama,832750
35020,Jefferson County,Alabama,832750
35021,Jefferson County,Alabama,832750
35022,Jefferson County,Alabama,832750
35023,Jefferson County,Alabama,832750
35036,Jefferson County,Alabama,832750
35041,Jefferson County,Alabama,832750
35048,Jefferson County,Alabama,832750
35060,Jefferson County,Alabama,832750
35061,Jefferson County,Alabama,832750
35062,Jefferson County,Alabama,832750
35064,Jefferson County,Alabama,832750
35068,Jefferson County,Alabama,832750
35071,Jefferson County,Alabama,832750
35073,Jefferson County,Alabama,832750
35091,Jefferson County,Alabama,832750
35094,Jefferson County,Alabama,832750
35116,Jefferson County,Alabama,832750
35117,Jefferson County,Alabama,832750
35118,Jefferson County,Alabama,832750
35119,Jefferson County,Alabama,832750
35123,Jefferson County,Alabama,832750
35126,Jefferson County,Alabama,832750
35127,Jefferson County,Alabama,832750
35139,Jefferson County,Alabama,832750
35142,Jefferson County,Alabama,832750
35173,Jefferson County,Alabama,832750
35180,Jefferson County,Alabama,832750
35181,Jefferson County,Alabama,832750
35201,Jefferson County,Alabama,832750
35202,Jefferson County,Alabama,832750
35203,Jefferson County,Alabama,832750
35204,Jefferson County,Alabama,832750
35205,Jefferson County,Alabama,832750
35206,Jefferson County,Alabama,832750
35207,Jefferson County,Alabama,832750
35208,Jefferson County,Alabama,832750
