zipCode,county,state,entitlement
35292,Jefferson County,Alabama,766550
35293,Jefferson County,Alabama,766550
35294,Jefferson County,Alabama,766550
35295,Jefferson County,Alabama,766550
35296,Jefferson County,Alabama,766550
35297,Jefferson County,Alabama,766550
35298,Jefferson County,Alabama,766550
35299,Jefferson County,Alabama,766550
35401,Tuscaloosa County,Alabama,766550
35402,Tuscaloosa County,Alabama,766550
35403,Tuscaloosa County,Alabama,766550
35404,Tuscaloosa County,Alabama,766550
35405,Tuscaloosa County,Alabama,766550
35406,Tuscaloosa County,Alabama,766550
35407,Tuscaloosa County,Alabama,766550
35440,Tuscaloosa County,Alabama,766550
35441,Hale County,Alabama,766550
35442,Pickens County,Alabama,766550
35443,Greene County,Alabama,766550
35444,Tuscaloosa County,Alabama,766550
35446,Tuscaloosa County,Alabama,766550
35447,Pickens County,Alabama,766550
35448,Greene County,Alabama,766550
35449,Tuscaloosa County,Alabama,766550
35452,Tuscaloosa County,Alabama,766550
35453,Tuscaloosa County,Alabama,766550
35456,Tuscaloosa County,Alabama,766550
35457,Tuscaloosa County,Alabama,766550
35458,Tuscaloosa County,Alabama,766550
35459,Sumter County,Alabama,766550
35460,Sumter County,Alabama,766550
35461,Pickens County,Alabama,766550
35462,Greene County,Alabama,766550
35463,Tuscaloosa County,Alabama,766550
35464,Sumter County,Alabama,766550
35466,Pickens County,Alabama,766550
35468,Tuscaloosa County,Alabama,766550
35469,Greene County,Alabama,766550
35470,Sumter County,Alabama,766550
35471,Pickens County,Alabama,766550
35473,Tuscaloosa County,Alabama,766550
35474,Hale County,Alabama,766550
35475,Tuscaloosa County,Alabama,766550
35476,Tuscaloosa County,Alabama,766550
35477,Sumter County,Alabama,766550
35478,Tuscaloosa County,Alabama,766550
35480,Tuscaloosa County,Alabama,766550
35481,Pickens County,Alabama,766550
35482,Tuscaloosa County,Alabama,766550
35485,Tuscaloosa County,Alabama,766550
35486,Tuscaloosa County,Alabama,766550
35487,Tuscaloosa County,Alabama,766550
35490,Tuscaloosa County,Alabama,766550
35491,Greene County,Alabama,766550
35501,Walker County,Alabama,766550
35502,Walker County,Alabama,766550
35503,Walker County,Alabama,766550
35504,Walker County,Alabama,766550
35540,Winston County,Alabama,766550
35541,Winston County,Alabama,766550
35542,Fayette County,Alabama,766550
35543,Marion County,Alabama,766550
35544,Lamar County,Alabama,766550
35545,Fayette County,Alabama,766550
35546,Fayette County,Alabama,766550
35548,Marion County,Alabama,766550
35549,Walker County,Alabama,766550
35550,Walker County,Alabama,766550
35551,Winston County,Alabama,766550
35552,Lamar County,Alabama,766550
35553,Winston County,Alabama,766550
35554,Fayette County,Alabama,766550
35555,Fayette County,Alabama,766550
35559,Fayette County,Alabama,766550
35560,Walker County,Alabama,766550
35563,Marion County,Alabama,766550
35564,Marion County,Alabama,766550
35565,Winston County,Alabama,766550
35570,Marion County,Alabama,766550
35571,Franklin County,Alabama,766550
35572,Winston County,Alabama,766550
35573,Walker County,Alabama,766550
35574,Lamar County,Alabama,766550
35575,Winston County,Alabama,766550
35576,Lamar County,Alabama,766550
35577,Winston County,Alabama,766550
35578,Walker County,Alabama,766550
35579,Walker County,Alabama,766550
35580,Walker County,Alabama,766550
35581,Franklin County,Alabama,766550
35582,Franklin County,Alabama,766550
35584,Walker County,Alabama,766550
35585,Franklin County,Alabama,766550
35586,Lamar County,Alabama,766550
35587,Walker County,Alabama,766550
35592,Lamar County,Alabama,766550
35593,Franklin County,Alabama,766550
35594,Marion County,Alabama,766550
35601,Morgan County,Alabama,766550
35602,Morgan County,Alabama,766550
35603,Morgan County,Alabama,766550
35609,Morgan County,Alabama,766550
35610,Lauderdale County,Alabama,766550
35611,Limestone County,Alabama,766550
35612,Limestone County,Alabama,766550
35613,Limestone County,Alabama,766550
35614,Limestone County,Alabama,766550
35615,Limestone County,Alabama,766550
35616,Colbert County,Alabama,766550
35617,Lauderdale County,Alabama,766550
35618,Lawrence County,Alabama,766550
35619,Morgan County,Alabama,766550
35620,Limestone County,Alabama,766550
35621,Morgan County,Alabama,766550
35622,Morgan County,Alabama,766550
35630,Lauderdale County,Alabama,766550
35631,Lauderdale County,Alabama,766550
35632,Lauderdale County,Alabama,766550
35633,Lauderdale County,Alabama,766550
35634,Lauderdale County,Alabama,766550
35640,Morgan County,Alabama,766550
35643,Lawrence County,Alabama,766550
35645,Lauderdale County,Alabama,766550
35646,Colbert County,Alabama,766550
35647,Limestone County,Alabama,766550
35648,Lauderdale County,Alabama,766550
35649,Limestone County,Alabama,766550
35650,Lawrence County,Alabama,766550
35651,Lawrence County,Alabama,766550
35652,Lauderdale County,Alabama,766550
35653,Franklin County,Alabama,766550
35654,Franklin County,Alabama,766550
35660,Colbert County,Alabama,766550
35661,Colbert County,Alabama,766550
35662,Colbert County,Alabama,766550
35670,Morgan County,Alabama,766550
35671,Limestone County,Alabama,766550
35672,Lawrence County,Alabama,766550
35673,Morgan County,Alabama,766550
35674,Colbert County,Alabama,766550
35677,Lauderdale County,Alabama,766550
35699,Morgan County,Alabama,766550
35739,Limestone County,Alabama,766550
35740,Jackson County,Alabama,766550
35741,Madison County,Alabama,766550
35742,Limestone County,Alabama,766550
35744,Jackson County,Alabama,766550
35745,Jackson County,Alabama,766550
35746,Jackson County,Alabama,766550
35747,Marshall County,Alabama,766550
35748,Madison County,Alabama,766550
35749,Madison County,Alabama,766550
35750,Madison County,Alabama,766550
35751,Jackson County,Alabama,766550
35752,Jackson County,Alabama,766550
35754,Morgan County,Alabama,766550
35755,Marshall County,Alabama,766550
35756,Limestone County,Alabama,766550
35757,Madison County,Alabama,766550
35758,Madison County,Alabama,766550
35759,Madison County,Alabama,766550
35760,Madison County,Alabama,766550
35761,Madison County,Alabama,766550
35762,Madison County,Alabama,766550
35763,Madison County,Alabama,766550
35764,Jackson County,Alabama,766550
35765,Jackson County,Alabama,766550
35766,Jackson County,Alabama,766550
35767,Madison County,Alabama,766550
35768,Jackson County,Alabama,766550
35769,Jackson County,Alabama,766550
35771,Jackson County,Alabama,766550
35772,Jackson County,Alabama,766550
35773,Madison County,Alabama,766550
35774,Jackson County,Alabama,766550
35775,Morgan County,Alabama,766550
35776,Jackson County,Alabama,766550
35801,Madison County,Alabama,766550
35802,Madison County,Alabama,766550
35803,Madison County,Alabama,766550
35804,Madison County,Alabama,766550
35805,Madison County,Alabama,766550
35806,Madison County,Alabama,766550
35807,Madison County,Alabama,766550
35808,Madison County,Alabama,766550
35809,Madison County,Alabama,766550
35810,Madison County,Alabama,766550
35811,Madison County,Alabama,766550
35812,Madison County,Alabama,766550
35813,Madison County,Alabama,766550
35814,Madison County,Alabama,766550
35815,Madison County,Alabama,766550
35816,Madison County,Alabama,766550
35824,Madison County,Alabama,766550
35893,Madison County,Alabama,766550
35894,Madison County,Alabama,766550
35895,Madison County,Alabama,766550
35896,Madison County,Alabama,766550
35897,Madison County,Alabama,766550
35898,Madison County,Alabama,766550
35899,Madison County,Alabama,766550
35901,Etowah County,Alabama,766550
35902,Etowah County,Alabama,766550
35903,Etowah County,Alabama,766550
35904,Etowah County,Alabama,766550
35905,Etowah County,Alabama,766550
35906,Etowah County,Alabama,766550
35907,Etowah County,Alabama,766550
35950,Marshall County,Alabama,766550
35951,Marshall County,Alabama,766550
35952,Etowah County,Alabama,766550
35953,St. Clair County,Alabama,766550
35954,Etowah County,Alabama,766550
35956,Etowah County,Alabama,766550
35957,Marshall County,Alabama,766550
35958,Jackson County,Alabama,766550
35959,Cherokee County,Alabama,766550
35960,Cherokee County,Alabama,766550
35961,DeKalb County,Alabama,766550
35962,DeKalb County,Alabama,766550
35963,DeKalb County,Alabama,766550
35964,Marshall County,Alabama,766550
35966,Jackson County,Alabama,766550
35967,DeKalb County,Alabama,766550
35968,DeKalb County,Alabama,766550
35971,DeKalb County,Alabama,766550
35972,Etowah County,Alabama,766550
35973,Cherokee County,Alabama,766550
35974,DeKalb County,Alabama,766550
35975,DeKalb County,Alabama,766550
35976,Marshall County,Alabama,766550
35978,DeKalb County,Alabama,766550
35979,DeKalb County,Alabama,766550
35980,Marshall County,Alabama,766550
35981,DeKalb County,Alabama,766550
35983,Cherokee County,Alabama,766550
35984,DeKalb County,Alabama,766550
35986,DeKalb County,Alabama,766550
35987,St. Clair County,Alabama,766550
35988,DeKalb County,Alabama,766550
35989,DeKalb County,Alabama,766550
35990,Etowah County,Alabama,766550
36003,Autauga County,Alabama,766550
36005,Pike County,Alabama,766550
36006,Autauga County,Alabama,766550
36008,Autauga County,Alabama,766550
36009,Crenshaw County,Alabama,766550
36010,Pike County,Alabama,766550
36013,Montgomery County,Alabama,766550
36015,Butler County,Alabama,766550
36016,Barbour County,Alabama,766550
36017,Barbour County,Alabama,766550
36020,Elmore County,Alabama,766550
36022,Elmore County,Alabama,766550
36023,Tallapoosa County,Alabama,766550
36024,Elmore County,Alabama,766550
36025,Elmore County,Alabama,766550
36026,Coosa County,Alabama,766550
36027,Barbour County,Alabama,766550
36028,Covington County,Alabama,766550
36029,Bullock County,Alabama,766550
36030,Butler County,Alabama,766550
36031,Macon County,Alabama,766550
36032,Lowndes County,Alabama,766550
36033,Butler County,Alabama,766550
36034,Pike County,Alabama,766550
36035,Pike County,Alabama,766550
36036,Montgomery County,Alabama,766550
36037,Butler County,Alabama,766550
36038,Covington County,Alabama,766550
36039,Macon County,Alabama,766550
36040,Lowndes County,Alabama,766550
36041,Crenshaw County,Alabama,766550
36042,Crenshaw County,Alabama,766550
36043,Montgomery County,Alabama,766550
36045,Elmore County,Alabama,766550
36046,Crenshaw County,Alabama,766550
36047,Lowndes County,Alabama,766550
36048,Barbour County,Alabama,766550
36049,Crenshaw County,Alabama,766550
36051,Autauga County,Alabama,766550
36052,Montgomery County,Alabama,766550
36053,Bullock County,Alabama,766550
36054,Elmore County,Alabama,766550
36057,Montgomery County,Alabama,766550
36061,Bullock County,Alabama,766550
36062,Crenshaw County,Alabama,766550
36064,Montgomery County,Alabama,766550
36065,Montgomery County,Alabama,766550
36066,Autauga County,Alabama,766550
36067,Autauga County,Alabama,766550
36068,Autauga County,Alabama,766550
36069,Montgomery County,Alabama,766550
36071,Crenshaw County,Alabama,766550
36072,Barbour County,Alabama,766550
36075,Macon County,Alabama,766550
36078,Elmore County,Alabama,766550
36079,Pike County,Alabama,766550
36080,Elmore County,Alabama,766550
36081,Pike County,Alabama,766550
36082,Pike County,Alabama,766550
36083,Macon County,Alabama,766550
36087,Macon County,Alabama,766550
36088,Macon County,Alabama,766550
36089,Bullock County,Alabama,766550
36091,Chilton County,Alabama,766550
36092,Elmore County,Alabama,766550
36093,Elmore County,Alabama,766550
36101,Montgomery County,Alabama,766550
36102,Montgomery County,Alabama,766550
36103,Montgomery County,Alabama,766550
36104,Montgomery County,Alabama,766550
36105,Montgomery County,Alabama,766550
36106,Montgomery County,Alabama,766550
36107,Montgomery County,Alabama,766550
36108,Montgomery County,Alabama,766550
36109,Montgomery County,Alabama,766550
36110,Montgomery County,Alabama,766550
36111,Montgomery County,Alabama,766550
36112,Montgomery County,Alabama,766550
36113,Montgomery County,Alabama,766550
36114,Montgomery County,Alabama,766550
36115,Montgomery County,Alabama,766550
36116,Montgomery County,Alabama,766550
36117,Montgomery County,Alabama,766550
36118,Montgomery County,Alabama,766550
36119,Montgomery County,Alabama,766550
36120,Montgomery County,Alabama,766550
36121,Montgomery County,Alabama,766550
36123,Montgomery County,Alabama,766550
36124,Montgomery County,Alabama,766550
36125,Montgomery County,Alabama,766550
36130,Montgomery County,Alabama,766550
36131,Montgomery County,Alabama,766550
36132,Montgomery County,Alabama,766550
36133,Montgomery County,Alabama,766550
36134,Montgomery County,Alabama,766550
36135,Montgomery County,Alabama,766550
36140,Montgomery County,Alabama,766550
36141,Montgomery County,Alabama,766550
36142,Montgomery County,Alabama,766550
36177,Montgomery County,Alabama,766550
36191,Montgomery County,Alabama,766550
36201,Calhoun County,Alabama,766550
36202,Calhoun County,Alabama,766550
36203,Calhoun County,Alabama,766550
36204,Calhoun County,Alabama,766550
36205,Calhoun County,Alabama,766550
36206,Calhoun County,Alabama,766550
36207,Calhoun County,Alabama,766550
36210,Calhoun County,Alabama,766550
36250,Calhoun County,Alabama,766550
36251,Clay County,Alabama,766550
36253,Calhoun County,Alabama,766550
36254,Calhoun County,Alabama,766550
36255,Clay County,Alabama,766550
36256,Tallapoosa County,Alabama,766550
36257,Calhoun County,Alabama,766550
36258,Clay County,Alabama,766550
36260,Calhoun County,Alabama,766550
36261,Cleburne County,Alabama,766550
36262,Cleburne County,Alabama,766550
36263,Randolph County,Alabama,766550
36264,Cleburne County,Alabama,766550
36265,Calhoun County,Alabama,766550
36266,Clay County,Alabama,766550
36267,Clay County,Alabama,766550
36268,Talladega County,Alabama,766550
36269,Cleburne County,Alabama,766550
36271,Calhoun County,Alabama,766550
36272,Calhoun County,Alabama,766550
36273,Cleburne County,Alabama,766550
36274,Randolph County,Alabama,766550
36275,Cherokee County,Alabama,766550
36276,Randolph County,Alabama,766550
36277,Calhoun County,Alabama,766550
36278,Randolph County,Alabama,766550
36279,Calhoun County,Alabama,766550
36280,Randolph County,Alabama,766550
36301,Houston County,Alabama,766550
36302,Houston County,Alabama,766550
36303,Houston County,Alabama,766550
36304,Houston County,Alabama,766550
36305,Houston County,Alabama,766550
36310,Henry County,Alabama,766550
36311,Dale County,Alabama,766550
36312,Houston County,Alabama,766550
36313,Geneva County,Alabama,766550
36314,Geneva County,Alabama,766550
36316,Geneva County,Alabama,766550
36317,Henry County,Alabama,766550
36318,Geneva County,Alabama,766550
36319,Houston County,Alabama,766550
36320,Houston County,Alabama,766550
36321,Houston County,Alabama,766550
36322,Dale County,Alabama,766550
36323,Coffee County,Alabama,766550
36330,Coffee County,Alabama,766550
36331,Coffee County,Alabama,766550
36340,Geneva County,Alabama,766550
36343,Houston County,Alabama,766550
36344,Geneva County,Alabama,766550
36345,Henry County,Alabama,766550
36346,Coffee County,Alabama,766550
36349,Geneva County,Alabama,766550
36350,Dale County,Alabama,766550
36351,Coffee County,Alabama,766550
36352,Houston County,Alabama,766550
36353,Henry County,Alabama,766550
36360,Dale County,Alabama,766550
36361,Dale County,Alabama,766550
36362,Dale County,Alabama,766550
36370,Houston County,Alabama,766550
36371,Dale County,Alabama,766550
36373,Henry County,Alabama,766550
36374,Dale County,Alabama,766550
36375,Geneva County,Alabama,766550
36376,Houston County,Alabama,766550
36401,Conecuh County,Alabama,766550
36420,Covington County,Alabama,766550
36421,Covington County,Alabama,766550
36425,Monroe County,Alabama,766550
36426,Escambia County,Alabama,766550
36427,Escambia County,Alabama,766550
36429,Conecuh County,Alabama,766550
36432,Conecuh County,Alabama,766550
36435,Wilcox County,Alabama,766550
36436,Clarke County,Alabama,766550
36439,Monroe County,Alabama,766550
36441,Escambia County,Alabama,766550
36442,Covington County,Alabama,766550
36444,Monroe County,Alabama,766550
36445,Monroe County,Alabama,766550
36446,Clarke County,Alabama,766550
36449,Monroe County,Alabama,766550
36451,Clarke County,Alabama,766550
36453,Covington County,Alabama,766550
36454,Conecuh County,Alabama,766550
36455,Covington County,Alabama,766550
36456,Butler County,Alabama,766550
36457,Monroe County,Alabama,766550
36458,Monroe County,Alabama,766550
36460,Monroe County,Alabama,766550
36461,Monroe County,Alabama,766550
36462,Monroe County,Alabama,766550
36467,Covington County,Alabama,766550
36470,Monroe County,Alabama,766550
36471,Monroe County,Alabama,766550
36473,Conecuh County,Alabama,766550
36474,Covington County,Alabama,766550
36475,Conecuh County,Alabama,766550
36476,Covington County,Alabama,766550
36477,Geneva County,Alabama,766550
36480,Monroe County,Alabama,766550
36481,Monroe County,Alabama,766550
36482,Clarke County,Alabama,766550
36483,Covington County,Alabama,766550
36501,Clarke County,Alabama,766550
36502,Escambia County,Alabama,766550
36503,Escambia County,Alabama,766550
36504,Escambia County,Alabama,766550
36505,Mobile County,Alabama,766550
36507,Baldwin County,Alabama,766550
36509,Mobile County,Alabama,766550
36511,Baldwin County,Alabama,766550
36512,Mobile County,Alabama,766550
36513,Washington County,Alabama,766550
36515,Clarke County,Alabama,766550
36518,Washington County,Alabama,766550
36521,Mobile County,Alabama,766550
36522,Mobile County,Alabama,766550
36523,Mobile County,Alabama,766550
36524,Clarke County,Alabama,766550
36525,Mobile County,Alabama,766550
36526,Baldwin County,Alabama,766550
36527,Baldwin County,Alabama,766550
36528,Mobile County,Alabama,766550
36529,Washington County,Alabama,766550
36530,Baldwin County,Alabama,766550
