zipCode,county,state,entitlement
35004,St. Clair County,Alabama,726200
35005,Jefferson County,Alabama,726200
35006,Jefferson County,Alabama,726200
35007,Shelby County,Alabama,726200
35010,Tallapoosa County,Alabama,726200
35011,Tallapoosa County,Alabama,726200
35013,Blount County,Alabama,726200
35014,Talladega County,Alabama,726200
35015,Jefferson County,Alabama,726200
35016,Marshall County,Alabama,726200
35019,Cullman County,Alabama,726200
35020,Jefferson County,Alabama,726200
35021,Jefferson County,Alabama,726200
35022,Jefferson County,Alabama,726200
35023,Jefferson County,Alabama,726200
35031,Blount County,Alabama,726200
35032,Talladega County,Alabama,726200
35033,Cullman County,Alabama,726200
35034,Bibb County,Alabama,726200
35035,Bibb County,Alabama,726200
35036,Jefferson County,Alabama,726200
35038,Walker County,Alabama,726200
35040,Shelby County,Alabama,726200
35041,Jefferson County,Alabama,726200
35042,Bibb County,Alabama,726200
35043,Shelby County,Alabama,726200
35044,Talladega County,Alabama,726200
35045,Chilton County,Alabama,726200
35046,Chilton County,Alabama,726200
35048,Jefferson County,Alabama,726200
35049,Blount County,Alabama,726200
35051,Shelby County,Alabama,726200
35052,St. Clair County,Alabama,726200
35053,Cullman County,Alabama,726200
35054,St. Clair County,Alabama,726200
35055,Cullman County,Alabama,726200
35056,Cullman County,Alabama,726200
35057,Cullman County,Alabama,726200
35058,Cullman County,Alabama,726200
35060,Jefferson County,Alabama,726200
35061,Jefferson County,Alabama,726200
35062,Jefferson County,Alabama,726200
35063,Walker County,Alabama,726200
35064,Jefferson County,Alabama,726200
35068,Jefferson County,Alabama,726200
35070,Cullman County,Alabama,726200
35071,Jefferson County,Alabama,726200
35072,Coosa County,Alabama,726200
35073,Jefferson County,Alabama,726200
35074,Bibb County,Alabama,726200
35077,Cullman County,Alabama,726200
35078,Shelby County,Alabama,726200
35079,Blount County,Alabama,726200
35080,Shelby County,Alabama,726200
35082,Clay County,Alabama,726200
35083,Cullman County,Alabama,726200
35085,Chilton County,Alabama,726200
35087,Cullman County,Alabama,726200
35089,Coosa County,Alabama,726200
35091,Jefferson County,Alabama,726200
35094,Jefferson County,Alabama,726200
35096,Talladega County,Alabama,726200
35097,Blount County,Alabama,726200
35098,Cullman County,Alabama,726200
35111,Tuscaloosa County,Alabama,726200
35112,St. Clair County,Alabama,726200
35114,Shelby County,Alabama,726200
35115,Shelby County,Alabama,726200
35116,Jefferson County,Alabama,726200
35117,Jefferson County,Alabama,726200
35118,Jefferson County,Alabama,726200
35119,Jefferson County,Alabama,726200
35120,St. Clair County,Alabama,726200
35121,Blount County,Alabama,726200
35123,Jefferson County,Alabama,726200
35124,Shelby County,Alabama,726200
35125,St. Clair County,Alabama,726200
35126,Jefferson County,Alabama,726200
35127,Jefferson County,Alabama,726200
35128,St. Clair County,Alabama,726200
35130,Walker County,Alabama,726200
35131,St. Clair County,Alabama,726200
35133,Blount County,Alabama,726200
35135,St. Clair County,Alabama,726200
35136,Coosa County,Alabama,726200
35137,Shelby County,Alabama,726200
35139,Jefferson County,Alabama,726200
35142,Jefferson County,Alabama,726200
35143,Shelby County,Alabama,726200
35144,Shelby County,Alabama,726200
35146,St. Clair County,Alabama,726200
35147,Shelby County,Alabama,726200
35148,Walker County,Alabama,726200
35149,Talladega County,Alabama,726200
35150,Talladega County,Alabama,726200
35151,Talladega County,Alabama,726200
35160,Talladega County,Alabama,726200
35161,Talladega County,Alabama,726200
35171,Chilton County,Alabama,726200
35172,Blount County,Alabama,726200
35173,Jefferson County,Alabama,726200
35175,Marshall County,Alabama,726200
35176,Shelby County,Alabama,726200
35178,Shelby County,Alabama,726200
35179,Cullman County,Alabama,726200
35180,Jefferson County,Alabama,726200
35181,Jefferson County,Alabama,726200
35182,St Clair County,Alabama,726200
35183,Coosa County,Alabama,726200
35184,Bibb County,Alabama,726200
35185,Shelby County,Alabama,726200
35186,Shelby County,Alabama,726200
35187,Shelby County,Alabama,726200
35188,Bibb County,Alabama,726200
35201,Jefferson County,Alabama,726200
35202,Jefferson County,Alabama,726200
35203,Jefferson County,Alabama,726200
35204,Jefferson County,Alabama,726200
35205,Jefferson County,Alabama,726200
35206,Jefferson County,Alabama,726200
35207,Jefferson County,Alabama,726200
35208,Jefferson County,Alabama,726200
35209,Jefferson County,Alabama,726200
35210,Jefferson County,Alabama,726200
35211,Jefferson County,Alabama,726200
35212,Jefferson County,Alabama,726200
35213,Jefferson County,Alabama,726200
35214,Jefferson County,Alabama,726200
35215,Jefferson County,Alabama,726200
35216,Jefferson County,Alabama,726200
35217,Jefferson County,Alabama,726200
35218,Jefferson County,Alabama,726200
35219,Jefferson County,Alabama,726200
35220,Jefferson County,Alabama,726200
35221,Jefferson County,Alabama,726200
35222,Jefferson County,Alabama,726200
35223,Jefferson County,Alabama,726200
35224,Jefferson County,Alabama,726200
35225,Jefferson County,Alabama,726200
35226,Jefferson County,Alabama,726200
35228,Jefferson County,Alabama,726200
35229,Jefferson County,Alabama,726200
35230,Jefferson County,Alabama,726200
35231,Jefferson County,Alabama,726200
35232,Jefferson County,Alabama,726200
35233,Jefferson County,Alabama,726200
35234,Jefferson County,Alabama,726200
35235,Jefferson County,Alabama,726200
35236,Jefferson County,Alabama,726200
35237,Jefferson County,Alabama,726200
35238,Jefferson County,Alabama,726200
35240,Jefferson County,Alabama,726200
35242,Shelby County,Alabama,726200
35243,Jefferson County,Alabama,726200
35244,Jefferson County,Alabama,726200
35245,Jefferson County,Alabama,726200
35246,Jefferson County,Alabama,726200
35249,Jefferson County,Alabama,726200
35253,Jefferson County,Alabama,726200
35254,Jefferson County,Alabama,726200
35255,Jefferson County,Alabama,726200
35259,Jefferson County,Alabama,726200
35260,Jefferson County,Alabama,726200
35261,Jefferson County,Alabama,726200
35263,Jefferson County,Alabama,726200
35266,Jefferson County,Alabama,726200
35270,Jefferson County,Alabama,726200
35277,Jefferson County,Alabama,726200
35278,Jefferson County,Alabama,726200
35279,Jefferson County,Alabama,726200
35280,Jefferson County,Alabama,726200
35281,Jefferson County,Alabama,726200
35282,Jefferson County,Alabama,726200
35283,Jefferson County,Alabama,726200
35285,Jefferson County,Alabama,726200
35286,Jefferson County,Alabama,726200
35287,Jefferson County,Alabama,726200
35288,Jefferson County,Alabama,726200
35289,Jefferson County,Alabama,726200
35290,Jefferson County,Alabama,726200
35291,Jefferson County,Alabama,726200
35292,Jefferson County,Alabama,726200
35293,Jefferson County,Alabama,726200
35294,Jefferson County,Alabama,726200
35295,Jefferson County,Alabama,726200
